# обновление коннкета для теста скорости кафка коннекта

curl -X PUT \
-H "Content-Type: application/json" \
--data '{
    "connector.class": "io.confluent.connect.jdbc.JdbcSourceConnector",
    "tasks.max": "1",
    "connection.url": "jdbc:postgresql://postgres:5432/customers?user=postgres-user&password=postgres-pw&useSSL=false",
    "connection.attempts": "5",
    "connection.backoff.ms": "50000",
    "mode": "timestamp",
    "timestamp.column.name": "updated_at",
    "topic.prefix": "postgresql-jdbc-bulk-",
    "table.whitelist": "users",
    "poll.interval.ms": "200",
    "batch.max.rows": 2000,
    "producer.override.linger.ms": 100,
    "producer.override.buffer.memory": 67108864,
    "producer.override.batch.size": 500000,
    "producer.override.compression.type": "zstd",
    "transforms": "MaskField",
    "transforms.MaskField.type": "org.apache.kafka.connect.transforms.MaskField$Value",
    "transforms.MaskField.fields": "private_info",
    "transforms.MaskField.replacement": "CENSORED"
}' \
http: //localhost:8083/connectors/postgres-source/config
